"Quote tiếng Anh","Dịch tiếng Việt","Trích"
"“Nature’s phenomena will agree or they’ll disagree with your theory.”","Các hiện tượng của tự nhiên hoặc sẽ phù hợp, hoặc sẽ mâu thuẫn với lý thuyết của bạn.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“We’ve learned from experience that the truth will out.”","Từ kinh nghiệm, chúng ta đã học được rằng sự thật rồi sẽ lộ ra.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“Of all its many values, the greatest must be the freedom to doubt.”","Trong nhiều giá trị của khoa học, lớn nhất hẳn là quyền tự do được hoài nghi.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“A scientist looking at non-scientific problems is just as dumb as the next guy.”","Một nhà khoa học khi xét vấn đề ngoài khoa học cũng có thể ngây ngô như bất kỳ ai khác.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“Scientific knowledge is an enabling power to do either good or bad.”","Tri thức khoa học là một sức mạnh cho phép ta làm cả điều tốt lẫn điều xấu.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“The enjoyment of science is as important as anything else.”","Niềm vui từ khoa học cũng quan trọng như bất kỳ điều gì khác.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“With more knowledge comes deeper, more wonderful mystery.”","Càng có nhiều tri thức, ta càng gặp những bí ẩn sâu hơn và kỳ diệu hơn.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“The scientist has a lot of experience with ignorance and doubt and uncertainty.”","Nhà khoa học có rất nhiều trải nghiệm với sự không biết, hoài nghi và bất định.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“In order to progress we must recognize the ignorance and leave room for doubt.”","Muốn tiến bộ, ta phải thừa nhận sự không biết và chừa chỗ cho hoài nghi.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“Scientific knowledge is a body of statements of varying degrees of certainty.”","Tri thức khoa học là một tập hợp những phát biểu có các mức độ chắc chắn khác nhau.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“Some most unsure, some nearly sure, none absolutely certain.”","Có điều rất không chắc, có điều gần như chắc chắn, nhưng không điều nào chắc chắn tuyệt đối.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“It is perfectly consistent to be unsure.”","Không chắc chắn là một trạng thái hoàn toàn nhất quán.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“It is possible to live and not know.”","Ta hoàn toàn có thể sống mà vẫn không biết.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“Permit us to question—to doubt, that’s all—not to be sure.”","Hãy cho phép chúng ta đặt câu hỏi — hoài nghi, chỉ vậy thôi — chứ đừng tuyệt đối chắc chắn.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“We must frankly admit that we do not know.”","Chúng ta phải thẳng thắn thừa nhận rằng mình không biết.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“We must leave the door to the unknown ajar.”","Chúng ta phải để cánh cửa dẫn tới điều chưa biết hé mở.","The Value of Science (Giá trị của khoa học) — Richard P. Feynman, Engineering and Science (1955)"
"“There is a difference between the name of the thing and what goes on.”","Có sự khác biệt giữa tên gọi của một sự vật và điều thực sự diễn ra.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“I haven’t got the slightest idea.”","Tôi hoàn toàn không biết.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“The name doesn’t tell me anything about the bird.”","Cái tên không cho tôi biết điều gì về con chim.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“You still know nothing about the bird.”","Bạn vẫn chẳng biết gì về con chim cả.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“The facts are not correct; the spirit is correct.”","Các chi tiết thực tế có thể không đúng; nhưng tinh thần thì đúng.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“I learned then what science was about: it was patience.”","Khi ấy tôi học được khoa học là gì: đó là sự kiên nhẫn.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“If you looked, and you watched, and you paid attention, you got a great reward from it.”","Nếu bạn nhìn, quan sát và chú ý, bạn sẽ nhận được một phần thưởng lớn từ việc đó.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“I’m sorry; I don’t know. I can’t explain it to you.”","Tôi xin lỗi; tôi không biết. Tôi không thể giải thích điều đó cho bạn.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“The race has ideas, but they are not necessarily profitable.”","Loài người có những ý tưởng, nhưng chúng không nhất thiết đều có ích.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“It is worthwhile rechecking by new direct experience.”","Việc kiểm tra lại bằng trải nghiệm trực tiếp mới là điều đáng làm.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“What a good way to begin a science course!”","Thật là một cách hay để bắt đầu một khóa học khoa học!","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“Open it up; let’s look at it.”","Mở nó ra; hãy cùng xem nó hoạt động thế nào.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“But nothing whatever is learned.”","Nhưng hoàn toàn chẳng học được gì cả.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“Science is the belief in the ignorance of experts.”","Khoa học là niềm tin rằng các chuyên gia cũng có thể không biết.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“Science doesn’t teach anything; experience teaches it.”","Khoa học không “dạy” điều gì; chính trải nghiệm mới dạy.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“The experts who are leading you may be wrong.”","Những chuyên gia đang dẫn dắt bạn có thể sai.","What Is Science? (Khoa học là gì?) — Richard P. Feynman, National Science Teachers Association talk (1966)"
"“It is imperative in science to doubt.”","Trong khoa học, hoài nghi là điều bắt buộc.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“It is absolutely necessary, for progress in science, to have uncertainty as a fundamental part of your inner nature.”","Để khoa học tiến bộ, việc mang sự bất định như một phần nền tảng trong tư duy là tuyệt đối cần thiết.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“To make progress in understanding we must remain modest and allow that we do not know.”","Muốn tiến bộ trong hiểu biết, ta phải khiêm tốn và chấp nhận rằng mình không biết.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“Nothing is certain or proved beyond all doubt.”","Không điều gì là chắc chắn hoặc được chứng minh vượt khỏi mọi hoài nghi.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“You investigate for curiosity, because it is unknown, not because you know the answer.”","Bạn nghiên cứu vì tò mò, vì điều đó chưa biết, chứ không phải vì đã biết câu trả lời.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“It is of great value to acknowledge ignorance.”","Việc thừa nhận sự không biết có giá trị rất lớn.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“We actually do live in uncertainty.”","Thực tế là chúng ta sống trong bất định.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“This attitude of uncertainty is vital to the scientist.”","Thái độ chấp nhận bất định là thiết yếu đối với nhà khoa học.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“I do not believe that science can disprove the existence of God.”","Tôi không tin rằng khoa học có thể bác bỏ sự tồn tại của Thượng đế.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“Man is a latecomer in a vast evolving drama.”","Con người là kẻ đến muộn trong một vở kịch tiến hóa mênh mông.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“All questions must be doubted and discussed.”","Mọi câu hỏi đều phải được hoài nghi và thảo luận.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“We must argue everything out—observe things, check them, and so change them.”","Ta phải tranh luận đến cùng — quan sát, kiểm tra, rồi thay đổi quan điểm khi cần.","The Relation of Science and Religion (Mối quan hệ giữa khoa học và tôn giáo) — Richard P. Feynman, Caltech YMCA Lunch Forum (1956)"
"“The sole test of its validity is experiment.”","Phép kiểm duy nhất đối với tính đúng đắn của một ý tưởng là thực nghiệm.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“There is an expanding frontier of ignorance.”","Có một biên giới của sự không biết đang không ngừng mở rộng.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“We can only do it piece by piece.”","Chúng ta chỉ có thể học từng phần một.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“Everything we know is only some kind of approximation.”","Mọi điều ta biết đều chỉ là một dạng xấp xỉ.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“The test of all knowledge is experiment.”","Phép thử của mọi tri thức là thực nghiệm.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“Experiment is the sole judge of scientific “truth.””","Thực nghiệm là vị thẩm phán duy nhất của “chân lý” khoa học.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“Experiment, itself, helps to produce these laws.”","Bản thân thực nghiệm cũng góp phần tạo ra những định luật ấy.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“But also needed is imagination.”","Nhưng trí tưởng tượng cũng là điều cần thiết.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“The laws of nature are approximate.”","Các định luật tự nhiên chỉ mang tính xấp xỉ.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“Things must be learned only to be unlearned again or, more likely, to be corrected.”","Có những điều phải học rồi học lại theo cách khác — hay chính xác hơn là được sửa lại.","The Feynman Lectures on Physics, Vol. I, Ch. 1 — Atoms in Motion (Bài giảng Vật lý Feynman, Tập I, Ch. 1 — Các nguyên tử chuyển động) — Caltech online edition"
"“Curiosity demands that we ask questions.”","Sự tò mò đòi hỏi chúng ta phải đặt câu hỏi.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“We try to put things together and try to understand.”","Chúng ta cố ghép các sự việc lại với nhau và cố hiểu chúng.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“Observation, reason, and experiment make up what we call the scientific method.”","Quan sát, lý luận và thực nghiệm hợp thành thứ ta gọi là phương pháp khoa học.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“What do we mean by “understanding” something?”","Ta thực sự muốn nói gì khi bảo rằng mình “hiểu” một điều?","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“We do not know what the rules of the game are.”","Chúng ta không biết các luật của trò chơi là gì.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“All we are allowed to do is to watch the playing.”","Tất cả những gì ta được làm là quan sát cuộc chơi.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“The rules of the game are what we mean by fundamental physics.”","Những luật của trò chơi chính là điều ta gọi là vật lý cơ bản.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“Our minds are limited.”","Tâm trí của chúng ta có giới hạn.","The Feynman Lectures on Physics, Vol. I, Ch. 2 — Basic Physics (Bài giảng Vật lý Feynman, Tập I, Ch. 2 — Vật lý cơ bản) — Caltech online edition"
"“By chance, we mean something like a guess.”","Khi nói “ngẫu nhiên”, ta muốn nói đến điều gì đó gần với một phỏng đoán.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“We make guesses when we wish to make a judgment but have incomplete information.”","Ta phỏng đoán khi cần đưa ra nhận định nhưng thông tin còn chưa đầy đủ.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“Any generalization is in the nature of a guess.”","Mọi sự khái quát hóa đều mang bản chất của một phỏng đoán.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“Any physical theory is a kind of guesswork.”","Mọi lý thuyết vật lý đều là một dạng phỏng đoán.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“There are good guesses and there are bad guesses.”","Có những phỏng đoán tốt và những phỏng đoán tệ.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“The theory of probability is a system for making better guesses.”","Lý thuyết xác suất là một hệ thống giúp ta đưa ra những phỏng đoán tốt hơn.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“Our most precise description of nature must be in terms of probabilities.”","Mô tả chính xác nhất của chúng ta về tự nhiên phải được diễn đạt bằng xác suất.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“Much of our knowledge must always remain uncertain.”","Phần lớn tri thức của chúng ta sẽ luôn còn bất định.","The Feynman Lectures on Physics, Vol. I, Ch. 6 — Probability (Bài giảng Vật lý Feynman, Tập I, Ch. 6 — Xác suất) — Caltech online edition"
"“Things on a very small scale behave like nothing that you have any direct experience about.”","Các vật ở thang rất nhỏ hành xử không giống bất cứ điều gì ta từng trực tiếp trải nghiệm.","The Feynman Lectures on Physics, Vol. I, Ch. 37 — Quantum Behavior (Bài giảng Vật lý Feynman, Tập I, Ch. 37 — Hành vi lượng tử) — Caltech online edition"
"“They do not behave like waves, they do not behave like particles.”","Chúng không hành xử như sóng, cũng không hành xử như hạt.","The Feynman Lectures on Physics, Vol. I, Ch. 37 — Quantum Behavior (Bài giảng Vật lý Feynman, Tập I, Ch. 37 — Hành vi lượng tử) — Caltech online edition"
"“So it really behaves like neither.”","Vì vậy, thực ra nó chẳng giống cái nào cả.","The Feynman Lectures on Physics, Vol. I, Ch. 37 — Quantum Behavior (Bài giảng Vật lý Feynman, Tập I, Ch. 37 — Hành vi lượng tử) — Caltech online edition"
"“Even the experts do not understand it the way they would like to.”","Ngay cả các chuyên gia cũng không hiểu nó theo cách họ mong muốn.","The Feynman Lectures on Physics, Vol. I, Ch. 37 — Quantum Behavior (Bài giảng Vật lý Feynman, Tập I, Ch. 37 — Hành vi lượng tử) — Caltech online edition"
"“We have to learn about them in a sort of abstract or imaginative fashion.”","Ta phải học về chúng theo một cách phần nào trừu tượng hoặc giàu tưởng tượng.","The Feynman Lectures on Physics, Vol. I, Ch. 37 — Quantum Behavior (Bài giảng Vật lý Feynman, Tập I, Ch. 37 — Hành vi lượng tử) — Caltech online edition"
"“In reality, it contains the only mystery.”","Thực ra, nó chứa đựng bí ẩn duy nhất.","The Feynman Lectures on Physics, Vol. I, Ch. 37 — Quantum Behavior (Bài giảng Vật lý Feynman, Tập I, Ch. 37 — Hành vi lượng tử) — Caltech online edition"
"“What is the cause of management's fantastic faith in the machinery?”","Điều gì khiến ban quản lý có một niềm tin phi thực tế đến thế vào cỗ máy?","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“They are warnings that something is wrong.”","Đó là những cảnh báo rằng có điều gì đó không ổn.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“There was no safety factor at all.”","Thực ra chẳng hề có hệ số an toàn nào cả.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“Erosion was a clue that something was wrong.”","Sự xói mòn là một dấu hiệu cho thấy có điều gì đó không ổn.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“When using a mathematical model careful attention must be given to uncertainties in the model.”","Khi dùng mô hình toán học, phải đặc biệt chú ý đến những bất định nằm trong chính mô hình.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“Without detailed understanding, confidence can not be attained.”","Nếu không hiểu chi tiết, ta không thể đạt được sự tin cậy có cơ sở.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“They must live in reality.”","Họ phải sống trong thực tại.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“For a successful technology, reality must take precedence over public relations, for nature cannot be fooled.”","Muốn công nghệ thành công, thực tại phải được đặt cao hơn quan hệ công chúng, bởi tự nhiên không thể bị đánh lừa.","Personal Observations on Reliability of Shuttle — Appendix F (Những quan sát cá nhân về độ tin cậy của tàu con thoi — Phụ lục F) — Rogers Commission Report / NASA (1986)"
"“There is no question that there is enough room on the head of a pin.”","Không nghi ngờ gì rằng trên đầu một chiếc ghim vẫn có đủ chỗ.","There's Plenty of Room at the Bottom (Còn rất nhiều chỗ ở phía dưới) — Richard P. Feynman, Caltech / APS talk (1959; published 1960)"
"“There is Plenty of Room at the Bottom.”","Ở phía dưới vẫn còn rất nhiều chỗ.","There's Plenty of Room at the Bottom (Còn rất nhiều chỗ ở phía dưới) — Richard P. Feynman, Caltech / APS talk (1959; published 1960)"
"“We can arrange the atoms the way we want.”","Ta có thể sắp xếp các nguyên tử theo cách mình muốn.","There's Plenty of Room at the Bottom (Còn rất nhiều chỗ ở phía dưới) — Richard P. Feynman, Caltech / APS talk (1959; published 1960)"
"“We will get an enormously greater range of possible properties.”","Ta sẽ có một phạm vi tính chất khả dĩ rộng hơn rất nhiều.","There's Plenty of Room at the Bottom (Còn rất nhiều chỗ ở phía dưới) — Richard P. Feynman, Caltech / APS talk (1959; published 1960)"
"“The questions of the students are often the source of new research.”","Những câu hỏi của sinh viên thường là nguồn khởi đầu cho nghiên cứu mới.","The Dignified Professor (Vị giáo sư “đạo mạo”) — Richard P. Feynman with Ralph Leighton, Caltech excerpt (1984)"
"“Teaching and the students keep life going.”","Việc giảng dạy và sinh viên giúp cuộc sống tiếp tục vận động.","The Dignified Professor (Vị giáo sư “đạo mạo”) — Richard P. Feynman with Ralph Leighton, Caltech excerpt (1984)"
